region,mapped_ift_class,squares,bulk_up_forecast,z3,forecast_area,reference_area,parcel_area_tot,r,group1,group2,group3,group,ownership,country
SWE,CONIFER,362,0,0,40381.77,66587.73988,173.03472371,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
SWE,TRANSITION,135,0,0,16268.28,23600.35403,54.207268954,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
SWE,UNCERTAIN,22,0,0,4786.17,11267.96659,7.1761952187,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
SWE,WOODLANDEDGE,796,0,0,322627.02,175979.8092,289.67777851,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
SELE,BROADLEAF,1165,0,0,230387.69,261196.6056,717.78235601,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
SELE,CONIFER,386,0,0,43206.83,75525.35209,193.64808227,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
SELE,TRANSITION,113,0,0,14208.41,18555.69811,40.337774742,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
SELE,UNCERTAIN,16,0,0,3472.9,7517.924664,6.8446321152,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
SELE,WOODLANDEDGE,893,0,0,352216.09,212003.2252,308.81843579,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
EE,BROADLEAF,443,0,0,99705.43,109963.8551,261.32382395,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
EE,CONIFER,158,0,0,19770.63,31325.78012,68.991604527,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
EE,TRANSITION,53,0,0,7881.66,8046.267364,18.000768397,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
EE,UNCERTAIN,9,0,0,2993.96,6006.423617,3.7389053716,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
EE,WOODLANDEDGE,446,0,0,215084.3,106237.7373,184.77576445,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
NS,BROADLEAF,159,0,0,24715.55,33424.73581,74.588014073,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Scotland
NS,CONIFER,370,0,0,60372.11,82227.30177,242.08272236,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Scotland
NS,TRANSITION,285,0,0,43139.63,41574.6016,160.32655421,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Scotland
NS,UNCERTAIN,113,0,0,32914.66,37303.94992,59.648340936,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Scotland
NS,WOODLANDEDGE,366,0,0,92739.29,82649.12326,110.14335253,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Scotland
WS,BROADLEAF,299,0,0,53181.52,70227.70367,154.05770098,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Scotland
WS,CONIFER,543,0,0,93269.6,127663.1351,389.03397293,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Scotland
